               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.021896,           0.0097593,            0.015662,             0.93644,             0.98182,             0.99223,             0.78988,           0.0081073,           0.0023066,            0.001197,           0.0069508,           0.0069508,           0.0069508
                  79,            0.020284,            0.010221,            0.012907,             0.94964,             0.93463,              0.9792,             0.78104,           0.0089773,            0.002332,           0.0016499,           0.0069112,           0.0069112,           0.0069112
                  80,            0.018564,           0.0095996,            0.012688,             0.94537,             0.94684,             0.97779,             0.76668,            0.010129,           0.0025052,           0.0022334,           0.0068716,           0.0068716,           0.0068716
                  81,            0.020028,            0.010591,            0.014006,             0.97026,             0.99219,               0.995,             0.81833,           0.0075361,           0.0024029,          0.00072031,            0.006832,            0.006832,            0.006832
                  82,             0.02034,            0.010053,            0.012457,             0.95886,             0.99277,               0.995,             0.79847,           0.0074018,            0.002378,          0.00067077,           0.0067924,           0.0067924,           0.0067924
                  83,             0.02029,            0.010096,            0.014238,             0.96771,             0.98182,              0.9935,             0.79179,            0.010608,            0.002497,          0.00074763,           0.0067528,           0.0067528,           0.0067528
                  84,            0.017405,            0.010208,            0.012108,             0.94502,             0.92556,             0.99077,             0.79327,           0.0083584,           0.0028331,           0.0016571,           0.0067132,           0.0067132,           0.0067132
                  85,            0.018207,            0.009798,            0.010952,             0.90623,             0.97618,             0.98955,             0.79939,           0.0073474,           0.0024539,            0.001546,           0.0066736,           0.0066736,           0.0066736
                  86,            0.016443,           0.0099621,            0.011052,             0.96469,             0.97681,              0.9935,             0.82594,           0.0082995,           0.0023208,           0.0010287,            0.006634,            0.006634,            0.006634
                  87,            0.018378,           0.0090154,            0.014213,             0.94096,             0.99403,               0.992,             0.79052,           0.0090015,           0.0023161,          0.00069392,           0.0065944,           0.0065944,           0.0065944
                  88,            0.017447,           0.0098651,            0.012725,             0.95353,             0.99729,              0.9935,              0.8279,           0.0074516,           0.0022932,          0.00068407,           0.0065548,           0.0065548,           0.0065548
                  89,            0.018125,           0.0095914,            0.011927,             0.96186,                   1,              0.9935,             0.81661,           0.0073342,           0.0023184,          0.00058986,           0.0065152,           0.0065152,           0.0065152
                  90,            0.021768,            0.009464,            0.011859,             0.97054,             0.99531,               0.995,             0.77733,            0.010157,           0.0023956,          0.00059279,           0.0064756,           0.0064756,           0.0064756
                  91,            0.018657,           0.0091779,            0.011287,             0.97923,             0.98874,               0.995,             0.82183,           0.0076404,           0.0024002,          0.00070988,            0.006436,            0.006436,            0.006436
                  92,            0.017199,           0.0099333,           0.0093409,             0.98016,             0.97477,               0.995,             0.81215,           0.0083393,           0.0022824,          0.00078893,           0.0063964,           0.0063964,           0.0063964
                  93,            0.016537,           0.0098697,           0.0096934,             0.97591,             0.99812,               0.995,             0.84867,           0.0081063,           0.0021544,          0.00073561,           0.0063568,           0.0063568,           0.0063568
                  94,            0.017133,           0.0087143,           0.0091844,             0.98098,               0.968,              0.9935,             0.83509,           0.0073604,           0.0021245,          0.00061755,           0.0063172,           0.0063172,           0.0063172
                  95,             0.01946,           0.0093897,            0.010759,             0.96473,                   1,               0.995,             0.82716,           0.0079631,           0.0023213,          0.00055248,           0.0062776,           0.0062776,           0.0062776
                  96,            0.015628,            0.008916,           0.0098549,             0.94466,             0.99024,               0.995,             0.83445,           0.0087201,           0.0021023,          0.00062452,            0.006238,            0.006238,            0.006238
